groupid,Group Name,Product Type,Product Color,Product Condition,name,Component Type,Included Products,groupsize,idingroup,strippedname,sku,platform,ASIN,matching_likelihood,matching_method,ParentProduct,SKU_Role,source_asin,source_sku,source_title,merge_source,merge_match_type
0,Rock Band 3,Bundle,,,Rock Band 3 with Wired X-Plorer Guitar Bundle [video game],,"Rock Band 3 Video Game, Wired X-Plorer Guitar",1,0,Rock Band 3 with Wired X-Plorer Guitar video game,JD-K49H-5DU4,Amazon,1403779562,100,stripped_name,Video Game,K,1403779562,JD-K49H-5DU4,Rock Band 3 with Wired X-Plorer Guitar Bundle,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,U,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,,,9,0,Factory-renewed Bose VCS-10 Center Channel Speaker,ZB-AFHB-Y58D,Amazon,B00005T3NH,100,stripped_name,Center Channel Speaker,P,B00005T3NH,ZB-AFHB-Y58D,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,U,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,,,9,1,Factory-renewed Bose VCS-10 Center Channel Speaker,0U-EA2V-4W13,Amazon,B00005T3NH,100,stripped_name,Speaker,P,B00005T3NH,0U-EA2V-4W13,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,U,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,,,9,2,Factory-renewed Bose VCS-10 Center Channel Speaker,B2-A9CG-UIK1,Amazon,B00005T3NH,100,stripped_name,Speaker,P,B00005T3NH,B2-A9CG-UIK1,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,U,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,,,9,3,Factory-renewed Bose VCS-10 Center Channel Speaker,ZS-94YE-3U3C,Amazon,B00005T3NH,100,stripped_name,Speaker,P,B00005T3NH,ZS-94YE-3U3C,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,,"Bose VCS-10 Center Channel Speaker, Black",,,9,4,Bose VCS-10 Center Channel Speaker,154572446665,MEKONG_eBay,,1.03,threshold,Speaker,P,B00005T3NH,154572446665,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,,"Bose VCS-10 Center Channel Speaker, Black",,,9,5,Bose VCS-10 Center Channel Speaker,01279-B,Ecwid,,1.03,threshold,Speaker,P,B00005T3NH,01279-B,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,U,"Bose VCS-10 Center Channel Speaker - Black - ""B"" Grade",,,9,6,Bose VCS-10 Center Channel Speaker B Grade,157213252819,MEKONG_eBay,,0.94,threshold,Speaker,P,B00005T3NH,157213252819,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Bundle,BK,U,"Set 2 Bose VCS-10 Center Channel Speaker (Black) Tested - ""B"" Grade",,"Bose VCS-10 Center Channel Speaker, Bose VCS-10 Center Channel Speaker",9,7,Set 2 Bose VCS-10 Center Channel Speaker B Grade,157222516861,MEKONG_eBay,,0.82,threshold,Speaker,P,B00005T3NH,157222516861,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,,Bose VCS-10 Center Channel Speaker  bass-reflex (ported) design (Black),,,9,8,Bose VCS-10 Center Channel Speaker bass-reflex ported design,364772891228,USAV_eBay,,100,stripped_name,Speaker,,,364772891228,Bose VCS-10 Center Channel Speaker  bass-reflex (ported) design (Black),ebay_only,
2,Bose Zone-2 Kit Room Extender,Parts,,,BOSE (R) Zone-2 Kit Room Extender,Zone-2 Room Extender,,1,0,BOSE R Zone-2 Kit Room Extender,VL-M7TN-BV1J,Amazon,B000067O94,100,stripped_name,System,A,B000067O94,VL-M7TN-BV1J,BOSE (R) Zone-2 Kit Room Extender,amazon_only,
3,Bose 201 Series IV,Product,,,Bose 201 Series IV,,,5,0,Bose 201 Series IV,R7-WR4U-9N6C,Amazon,B00006HO4Y,100,stripped_name,Speaker,P,B00006HO4Y,R7-WR4U-9N6C,Bose 201 Series IV,amazon_only,
3,Bose 201 Series IV,Product,,,Bose 201 Series IV,,,5,1,Bose 201 Series IV,SN-VPFV-OMQ3,Amazon,B00006HO4Y,100,stripped_name,Speaker,P,B00006HO4Y,SN-VPFV-OMQ3,Bose 201 Series IV,amazon_only,
3,Bose 201 Series IV,Product,,,Bose 201 Series IV,,,5,2,Bose 201 Series IV,257184195892,DRAGON_eBay,,100,stripped_name,Speaker,P,B00006HO4Y,257184195892,Bose 201 Series IV,amazon_only,
3,Bose 201 Series IV,Product,,,Bose 201 Series IV speaker system,,,5,3,Bose 201 Series IV speaker system,01246,Ecwid,,1.11,threshold,Speaker,P,B00006HO4Y,01246,Bose 201 Series IV,amazon_only,
3,Bose 201 Series IV,Product,BK,,Bose 201 Series IV Bookshelf Speakers -  Black,,,5,4,Bose 201 Series IV Bookshelf Speakers,267227846481,DRAGON_eBay,,0.92,threshold,Speaker,P,B00006HO4Y,267227846481,Bose 201 Series IV,amazon_only,
4,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair),Parts,BK,,Bose® WB-3 Bookshelf Speaker Wall Brackets (Pair) – Black,Wall Brackets,,4,0,Bose WB-3 Bookshelf Speaker Wall Brackets,5S-B45M-RI3Q,Amazon,B00006HO59,100,stripped_name,Speaker,A,B00006HO59,5S-B45M-RI3Q,Bose? WB-3 Bookshelf Speaker Wall Brackets (Pair) ? Black,amazon_only,
4,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair),Parts,BK,,Bose® WB-3 Bookshelf Speaker Wall Brackets (Pair) – Black,Wall Brackets,,4,1,Bose WB-3 Bookshelf Speaker Wall Brackets,8T-A56R-1KHI,Amazon,B00006HO59,100,stripped_name,Speaker,A,B00006HO59,8T-A56R-1KHI,Bose? WB-3 Bookshelf Speaker Wall Brackets (Pair) ? Black,amazon_only,
4,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair),Parts,BK,,Bose® WB-3 Bookshelf Speaker Wall Brackets (Pair) – Black,Wall Brackets,,4,2,Bose WB-3 Bookshelf Speaker Wall Brackets,JR-C9N0-US6W,Amazon,B00006HO59,100,stripped_name,Speaker,A,B00006HO59,JR-C9N0-US6W,Bose? WB-3 Bookshelf Speaker Wall Brackets (Pair) ? Black,amazon_only,
4,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair),Parts,,,WB-3 Bookshelf Speaker Wall Brackets (Pair)  for Bose 201 and 301  Speakers,Wall Brackets,,4,3,WB-3 Bookshelf Speaker Wall Brackets for Bose 201 and 301 Speakers,267235687031,DRAGON_eBay,,0.83,threshold,Speaker,A,B00006HO59,267235687031,Bose? WB-3 Bookshelf Speaker Wall Brackets (Pair) ? Black,amazon_only,
